FIPS,EventRootCode,f0_
SX,06,0.18315355159928109
SH,06,-0.40985694580256937
CJ,06,-0.72827700800104045
SY,06,-2.660481771598735
LI,06,0.0023100853768875766
FR,06,-1.9328858538025215
CU,06,-1.3246795387635895
HK,06,-1.5835146773388171
IR,06,-2.1643529680824654
ID,06,-1.1885547281546325
KN,06,-2.3751079070946237
TI,06,-1.0135194683101549
CH,06,-0.46486837852282153
ST,06,0.24610219324753022
KU,06,-1.4247517824208924
HU,06,-0.50012298552116541
KE,06,-1.746066098761631
TH,06,-1.4105637101339457
CG,06,-1.4102429219221155
FI,06,-1.3523036057180071
CW,06,0.84145464358184341
ZA,06,-0.288369100109703
ES,06,-1.7021053067202268
TO,06,-1.3569620328006398
RS,06,-1.8391848674517588
GV,06,-0.64261960377112426
MU,06,-1.0172747565078089
MY,06,-1.6846116186974407
LO,06,-1.8644086986484341
AL,06,-1.91572853454365
ER,06,-1.792920785346382
CF,06,-1.6425641601614933
CO,06,-1.47454934107093
CD,06,-1.3959350132749073
NE,06,-2.65465209475362
GA,06,-0.6064494940107964
NU,06,-1.0376502586968592
DR,06,-1.0393388828378858
EN,06,-0.66090516198243121
IN,06,-1.6000976599101515
AM,06,-0.89422593843420151
WS,06,-1.0475401735337881
BK,06,-0.77839429147444383
CK,06,-1.9057370627752255
NL,06,-1.3145186776104576
SA,06,-1.1463254242629064
LU,06,-1.595220712100158
NG,06,-0.72203211066810435
AS,06,-1.5478773383071656
PO,06,-0.67558749081575808
RB,06,-0.75365517391199166
QA,06,-1.678030645799873
SZ,06,-2.4074674651213614
BN,06,-0.54039383656742435
IO,06,-0.49801267023459067
PA,06,-1.2483012471118986
BH,06,-0.6804808252697091
NC,06,-0.5737572226429678
GY,06,-1.6422288425644591
TS,06,-1.324720060472542
RW,06,-0.396538312582287
AC,06,-0.46609328737028533
YM,06,-2.007607334786023
PM,06,-1.3955932911802618
JO,06,-1.0375297735232647
KG,06,-0.56980667323123391
AE,06,0.21776107432082437
BC,06,-0.57153282431886676
BF,06,-0.528660673912155
BX,06,-0.89526757796574863
MC,06,-0.89459342469517489
MK,06,-0.8822680534463252
LT,06,-0.704259065950875
MX,06,-1.38237964639594
CT,06,-1.8820985324739892
LE,06,-2.5031135487955076
FP,06,-0.453871155063839
BP,06,1.055589309006755
SM,06,-0.02398750231200706
NI,06,-1.5041125269021107
KV,06,-1.7202898924268217
AO,06,-0.2612794589765306
TX,06,1.807474921844672
KS,06,-0.83265101926194485
JE,06,-2.5627512617767327
NS,06,-0.77790189387432329
AF,06,-2.20844716613296
PU,06,-4.376606451318227
BY,06,-2.2004106249588751
SL,06,-1.261006691330625
GI,06,0.3064302092050647
PK,06,-1.581826091840661
SC,06,1.1057230774188158
TN,06,1.402549614571168
UZ,06,-0.084549259556607373
KZ,06,-0.4313745807110505
DA,06,-1.7400260803750356
VM,06,0.43235638106918622
MR,06,-1.7120921603245745
HA,06,-1.6812244462966635
PL,06,-0.91893968070605281
UY,06,-1.0614467592785159
AJ,06,-0.65752280784769224
BU,06,-1.3972819841175605
