Country,GoldsteinScale
AR,1.1968421416303459
GV,1.0049190596881212
MH,0.76587078651778429
CI,0.98443827080182
VE,0.77351768649676378
MN,1.2414339726212222
BC,1.114050344135336
GZ,-1.1667448679744015
MV,0.89923219930854148
VT,1.4674047950378188
DR,1.050131966102728
KZ,1.2174903548059326
BF,0.80046761495925822
BT,1.864951968928223
LS,1.6348303224898337
SL,1.1633448070658765
BY,0.2464042789282809
JE,0.6137166082436506
MU,1.8353631701097388
MC,1.4740114926778118
GR,1.1005266502975908
YM,-1.3209792816182564
AC,1.6156493458144836
WS,1.3491576315858782
FI,1.0589287811749153
NI,0.22797414819618145
PM,0.96084783427907738
SU,0.45728214560519814
ER,0.32282648438445893
