EventLocation,AvgTone_Intern
GB,-0.5975178448892039
SI,-1.2329940701210258
CT,-2.2475036331106817
AF,-3.6428567455820953
EC,-1.1543841029939244
FP,-1.2990790665893663
KE,-2.4912512010024246
LI,-0.47177445093708237
SU,-2.3338095819156219
UG,-2.2948378298483965
CU,-0.92710341812685371
GV,-1.3149756063140681
DA,-2.0131495853124477
RP,-2.181198316045903
AO,0.22953857205352746
BK,-1.3761663175493883
NO,-1.9088350679303852
IN,-2.2684923578740275
ID,-1.1204244283516429
ET,-2.2782652962201051
BB,-0.60510001587918438
CG,-1.5878760289208473
VE,-1.6694746813690122
PE,-1.2764241105177232
VI,-1.697471181963506
SN,-1.3792265577706748
FO,0.48657662062789808
BU,-0.94029906383379858
NZ,-0.49781209219274919
SF,-2.4581880957380524
MZ,-1.7922947842332047
BA,2.7683550221723534
BT,0.023504938503491595
GJ,0.90725131370796319
GT,-1.7822428656860052
PL,-0.8217427857691546
MX,-1.0501784994728147
UZ,0.66537616984178083
CH,0.28342100382454305
CJ,-0.45303636612541781
MJ,1.0500517000809109
AA,2.054317087071535
LT,-1.8072583836828848
AS,-1.9641462558682765
SG,-1.2543976263851668
DO,2.0008991399987393
BC,-1.2067833656994791
CF,-0.57115349589145881
AM,-0.73050912782168065
RB,-0.9233102808189152
PK,-2.468639072705082
IZ,-2.7822006208677186
CM,-1.484340050860367
UK,-1.7180082693885865
JM,-0.46577847973927144
JO,-0.21035040534714594
MH,0.57517389901043381
MG,0.31966197385268053
JA,-1.2652430461304207
SM,0.8055083588246994
CO,-1.2227544220794533
DR,-1.3593616417429462
IV,-0.43925333493245061
SO,-2.6799688688656773
VQ,-0.77788952103710585
GM,-2.2367891726715912
BH,-1.8338375415253685
RS,-2.0805156270289529
MI,-2.1302679280515315
BO,-0.56661148393288185
GQ,-1.98493591078723
PP,-0.11432568723213378
SL,-1.0787334425434152
NL,-1.649950515364121
TD,-1.9076835777568775
PA,-1.2313943091122987
IR,-2.5803027758623247
CN,-0.41323275154098643
KV,-0.78471437403019606
AJ,0.053574253445837688
ES,-1.9607535302047781
PO,-0.93980138461477236
LG,-0.83146171198133279
LA,3.1876023962492215
GP,-3.188994892638235
PU,0.21505801604268582
GY,-2.1706398375755418
QA,1.5987132436082716
IS,-3.7153286454004997
OC,-0.93954358380484
BL,-1.6773268335775411
OD,-2.2885082957079792
HR,-1.0008216024354635
TH,-2.1809817301660006
GR,-1.2435378259822838
MO,-0.46399946482492327
NC,-0.098450271282043339
GK,-3.3864520322672691
ML,-1.0113605091487199
FM,3.351736948999724
MT,-0.96192113613960539
WA,-2.1188961309482446
EI,-1.5282611273013007
CD,-2.713853857692504
MA,-0.67997536403954162
HU,-1.0376734522574558
SC,0.86130952733166477
CS,-1.0456316065825186
NS,-1.2312901172092554
EN,-0.32956194969792879
UV,-0.13740139982113198
VC,0.27069825638515649
KU,0.25001249821410482
AC,-0.64470744372302635
IM,-2.2169131144863581
LU,-0.23335239453218753
LE,-1.4779824732318509
MP,-1.0841382211675044
SP,-1.1003529837365666
GH,-0.8616011232118701
EG,-0.69030373493411135
YM,-2.7240756275960485
KG,-0.5087513790611915
MU,1.630164589792362
RE,-1.7614628881351273
KN,-2.6661169874554571
MD,-0.67903229068026461
AU,-1.4718403378137874
TK,-3.1870109212180582
AR,-1.3130121303694762
TN,0.6620991122764428
