FIPS,EventRootCode,AverageTone
KG,05,1.0570603483663512
BH,14,-1.6723245028006923
KN,06,-2.3751079070946286
MY,15,-3.6037416984032826
EN,05,0.40924789869534034
SC,19,-4.6136640087677838
BN,19,-2.5306415623277463
KV,05,0.86047018580632162
TO,14,-2.3957731861777685
TK,14,-5.34614364217107
CV,19,-4.1212630797189878
BA,19,-5.8125945385067883
GV,15,-2.2573029597923111
BF,19,-4.8731738359631072
GT,14,-3.852474189109556
MB,19,-3.5568067017703311
RP,19,-5.1553202538857335
GL,19,-1.6618840138840814
BG,14,-4.4371209916592358
KE,14,-4.3375051463098968
NZ,19,-4.6065329486035962
EI,14,-3.893289301461468
BT,15,-1.7076220369884687
NU,19,-4.5469093916493009
PO,15,-2.1179172597784697
OD,14,-4.168636501762184
US,05,-1.081910425700602
BO,06,-0.51773241148155014
MG,05,2.1738199045997124
BE,06,-2.1446465413231448
HU,15,-1.7787307493909648
UG,14,-4.466689230642924
AM,05,0.4138464098195796
NO,06,-1.8674297218090969
LE,19,-5.0537122199758429
CK,19,-5.2397812916599831
TZ,19,-4.52387516529791
PL,19,-4.6392799225199726
TN,15,0.2390291410819346
BC,06,-0.57153282431886554
GM,14,-4.2353979428336146
BE,15,-3.5523709425908829
FM,15,5.73476702508961
CW,19,-0.32576068960273219
RO,06,-0.91138405936662237
RP,05,-0.55546273025634951
IZ,14,-4.3823535232752056
BD,15,-1.2794566608380811
HU,05,0.1072985839300537
TP,19,-2.5523820889048627
FM,19,-0.37174721189592
AO,05,0.8986781768219031
PA,05,-0.38686600213970607
RO,19,-4.21173579272444
IR,15,-3.8773240665963287
AE,14,-2.7648052692639689
MN,05,-0.47816792722538914
IZ,05,-0.5961180724391224
AU,14,-4.7954005159159809
VT,15,-3.3310410273160365
GV,06,-0.64261960377112526
AC,06,-0.46609328737028521
GT,05,-0.99267971131759924
HA,05,0.094697526396447421
MZ,06,-1.6313320031523033
GA,19,-4.6501525467282931
TW,05,-0.69509816765072108
MT,14,-3.4739073914533583
GT,06,-2.0556443781137239
NL,15,-2.82329958515947
GI,15,0.1290257807870463
IZ,15,-3.28531627565214
BP,06,1.0555893090067556
CW,06,0.84145464358184319
YM,06,-2.0076073347860217
JM,05,0.65739030200758752
BG,19,-5.2911835572946977
DJ,19,-2.4303996429786014
EI,05,-0.17636112435756696
