FIPS,EventRootCode,AverageTone
JE,15,-3.6333769891085139
LE,15,-3.3359833249904116
MA,14,-1.7788157664310991
LU,06,-1.5952207121001585
LO,14,-3.8170169116604464
SC,14,-1.2973122426889911
MD,14,-2.7726112435984382
SH,19,0.20506645981862687
SE,15,-2.5680978969493147
CG,19,-4.4765614357938235
DO,14,-0.66556518074952209
IM,14,-2.1699332362852277
AG,06,-1.3962653157968361
SE,14,-2.6838721335823514
GL,05,0.23298687598697018
NP,06,-1.0966461436895367
RI,05,1.4635272465715228
US,19,-5.3209959075603512
IT,15,-2.1657714615442778
NC,19,-2.7890723554192838
SF,06,-1.7060341257739755
CY,19,-4.6079550407567726
PL,14,-2.529080604278986
TS,14,-3.2967752367017682
MH,14,-1.6401153460103592
SI,19,-5.1842387361801832
RW,15,-2.0032323773258263
GY,14,-3.8161455630388916
AF,05,-0.89678281423783812
GM,15,-3.577096033057297
MH,19,-4.3733071263546552
SG,14,-3.0367818184241613
MA,15,-2.5396073927909035
VQ,14,-1.5496940225061007
KV,14,-4.562136707310013
SX,14,-0.013305990864278111
CD,15,-2.4667477639300772
AM,14,-3.5189594296612183
AE,19,-5.4007330265211939
TT,19,-1.273335875079481
AA,19,0.93311451505658694
JM,14,-3.4787396874182872
GR,19,-4.3571380808253073
SO,14,-4.523133287936238
HO,19,-4.8047730992252653
SW,15,-1.9000292725238559
JA,06,-1.4449527922747729
VQ,15,-2.6283869498875192
BT,05,2.290840005406094
GQ,19,-4.6199440142694259
IN,19,-5.79045222480623
CV,14,-2.9200151747591332
PC,14,-3.7175028742072804
PE,14,-3.7981020349166661
GG,14,-2.7400099966873834
SP,19,-4.133309123198071
GH,15,-3.8138979243707678
GA,14,-2.9161462470287991
PU,14,-5.1991663437033706
MO,05,-0.15681727758010791
BT,19,-3.0263027089727355
LY,19,-5.689895317070734
TX,19,-0.91024412163703849
WS,14,-3.368710567436259
HK,14,-4.5395383248174372
NG,14,-2.0817142921398353
PP,15,-2.8664598594408521
MD,06,-0.523154828297414
IR,06,-2.1643529680824662
KS,14,-3.1959311856473929
SX,19,0.91004572181233134
NI,14,-3.6195520374944943
PM,15,-3.2038019916227465
SM,19,-4.1385658442461946
RI,19,-5.0832442804868831
IV,06,-0.63166457913504481
SY,19,-5.42467064806882
PE,06,-1.2655451887545983
IN,14,-4.5879162625434464
AU,15,-4.2252700093312034
AS,19,-4.3871501678111064
UV,14,-1.9714453751207008
LY,05,-0.0010794718249181523
FJ,19,-4.2790648190331231
HR,19,-5.5521348671427635
GQ,14,-2.5347921139366969
CS,05,-0.643950180558312
GG,19,-4.4771090223141643
BG,06,-1.8616106922058366
GL,14,-0.78332579970609373
VM,15,-1.6394605953156038
RI,06,0.020059598238521912
BF,06,-0.52866067391215477
UP,05,-0.37530029334018944
VI,14,-1.7563948363617465
GG,05,1.4626747796042168
CA,05,-0.83459515980102883
DR,05,0.41505681550742135
FR,19,-5.2695874272224188
GR,15,-2.5207086765485367
TZ,14,-2.5343211004845148
LO,05,-0.55477979097539454
IN,06,-1.6000976599101493
LA,06,2.0410489164622589
TK,05,1.1708396481683085
ZI,05,-0.582886553334417
PP,14,-3.2287840651748017
SN,19,-5.2479292929563952
ID,15,-2.9068821639037155
SL,05,0.2610254157716187
MX,15,-3.003536074229201
ZI,19,-4.5788482760217253
CF,19,-4.9087627013121136
CU,14,-3.9235189375264174
NC,14,-0.99500822084142215
UV,06,-0.18768731882612094
LE,06,-2.5031135487955081
CA,06,-1.8439524898817279
DJ,05,2.4472043249064206
MR,19,-4.6651934824010146
VM,06,0.43235638106918578
CE,14,-3.8823838872422991
NE,05,-0.956448135088334
PK,06,-1.5818260918406601
NU,14,-3.9541163004077089
AS,06,-1.5478773383071651
TV,14,-4.8819763475959865
MA,06,-0.64812738397659786
TO,06,-1.3569620328006406
BR,05,-0.46231096951898587
TL,06,1.87891440501044
LO,06,-1.8644086986484325
NS,06,-0.77790189387432418
SZ,15,-3.8379761301651234
BT,06,0.10039785481363071
AV,14,2.83190290891902
CK,15,-2.8681059137150822
SP,14,-3.1043210817992284
SC,05,2.5671146023722509
AL,14,-4.5025687786487723
QA,15,-4.5291941974835073
CU,06,-1.3246795387635888
DO,06,2.1686801792601318
AJ,05,0.69030548643805179
JO,15,-3.266473728332719
ES,05,-0.24053062750089771
IO,14,-3.3531311895053055
MN,06,-1.4799278452076252
MV,05,-1.3100855361564476
UZ,19,-3.58694146145426
WS,05,0.26531375086236142
NE,15,-1.7938347707796936
BO,05,0.550905400966766
CG,05,-0.44752547131134446
BF,05,1.131962730824378
ST,19,-4.9838304677346
PU,15,-4.54545454545454
SH,06,-0.40985694580256954
MK,06,-0.88226805344632608
JE,19,-5.0726459914235971
NO,05,-1.1154566421045631
TT,06,1.1954095350276759
GQ,15,-1.6607409515882054
BY,06,-2.2004106249588737
TH,05,-0.68749188287297436
RI,15,-1.251012668876949
LG,15,-1.5023216567492808
